names	ratings	season	year
Slayers	4.1	spring	1995
Tenchi Universe	4	spring	1995
H2	3.7	spring	1995
Jurassic Tripper	3.6	spring	1995
Street Fighter II V	3.4	spring	1995
Ping Pong Club	3.3	spring	1995
Sekai Meisaku Douwa Series: Wow! Maerchen Oukoku	2.9	spring	1995
Wild Knights Gulkeeva	2.8	spring	1995
Wedding Peach	2.6	spring	1995
Knyacki!	2.4	spring	1995
Gokinjo Monogatari	3.8	summer	1995
Nurse Angel Ririka SOS	3.1	summer	1995
Neon Genesis Evangelion	4.2	fall	1995
Saint Tail	3.8	fall	1995
Mojakou	3.7	fall	1995
El-Hazard: The Wanderers	3.5	fall	1995
Sorcerer Hunters	3.3	fall	1995
Virtua Fighter	3.1	fall	1995
Touma Kijin Den ONI	2.4	fall	1995
Romeo no Aoi Sora	4.3	winter	1995
Chibi Maruko-chan (1995)	3.4	winter	1995
Kuso Kagaku Sekai Gulliver Boy	3.3	winter	1995
Zenki	3.3	winter	1995
The Brave of Gold Goldran	3	winter	1995
Ninku	2.8	winter	1995
The Vision of Escaflowne	4	spring	1996
Cinderella Monogatari	3.6	spring	1996
Hell Teacher Nube	3.4	spring	1996
The Legend of Zorro	3.4	spring	1996
Lalala Lala-chan: Patapata Daisensou	2.3	summer	1996
Lalala Lala-chan	2.1	summer	1996
Pokemon Mystery Dungeon: Ginji's Rescue Team	3.5	summer	1996
Baron: The Cat Returns	3.9	summer	1996
Gon	3.7	summer	1996
Chouja Raideen	2.6	fall	1996
Rurouni Kenshin	4.4	winter	1996
Detective Conan	4.1	winter	1996
Bakusou Kyoudai Let's & Go!!	3.2	winter	1996
Dragon Ball GT	3.1	winter	1996
The Brave Command Dagwon	2.9	winter	1996
GeGeGe no Kitarou (1996)	2.9	winter	1996
Midori no Makibaoh	2.6	winter	1996
Slayers Try	4.2	spring	1997
Revolutionary Girl Utena	4	spring	1997
Kindaichi Shounen no Jikenbo	4	spring	1997
Cooking Master Boy	3.7	spring	1997
Pokemon	3.5	spring	1997
Hareluya II Boy	3.5	spring	1997
Hyper Police	3.4	spring	1997
Tenchi in Tokyo	3.4	spring	1997
Grander Musashi	3.3	spring	1997
Hakugei: Legend of the Moby Dick	3.2	spring	1997
CLAMP School Detectives	3.2	spring	1997
Haunted Junction	3	spring	1997
Tezuka Osamu no Kyuuyaku Seisho Monogatari: In the Beginning	3	spring	1997
Maze	3	spring	1997
Kero Kero Chime	2.9	spring	1997
Bamboo Bears	2.2	spring	1997
Chou Tokkyuu Hikarian	2.1	spring	1997
Yume no Crayon Oukoku	3.6	summer	1997
Flame of Recca	3.5	summer	1997
Tokyo Pig	2.9	summer	1997
Don't Leave Me Alone Daisy	2.1	summer	1997
Anime TV de Hakken! Tamagotchi	1.8	summer	1997
Azumi Mamma Mia	1.7	summer	1997
Berserk	4.3	fall	1997
Those Who Hunt Elves II	3.7	fall	1997
Battle Athletes Victory	3.5	fall	1997
Dr. Slump	3.4	fall	1997
Vampire Princess Miyu TV	3.3	fall	1997
Fortune Quest L	3.2	fall	1997
Chou Mashin Eiyuuden Wataru	3	fall	1997
Master of Mosquiton '99	3	fall	1997
Coji-Coji	2.5	fall	1997
Legend of the Mystical Ninja	2.2	fall	1997
Gakkyuu Ou Yamazaki	2.2	fall	1997
Virus Buster Serge	2	fall	1997
Nogsaegjeoncha Haemosu	2	fall	1997
Ehrgeiz	2	fall	1997
Shinkai Densetsu Meremanoid	1.8	fall	1997
Hanitarou Desu	1.6	fall	1997
GaoGaiGar	3.7	winter	1997
Bakusou Kyoudai Let's & Go!! WGP	3.6	winter	1997
Speed Racer X	3.2	winter	1997
Cutey Honey Flash	3.1	winter	1997
Eat-Man	2.9	winter	1997
Cowboy Bebop	4.5	spring	1998
Trigun	4.4	spring	1998
Initial D	4.3	spring	1998
Cardcaptor Sakura	4.1	spring	1998
Princess Nine	3.8	spring	1998
Record of Lodoss War: Chronicles of the Heroic Knight	3.7	spring	1998
Legend of Basara	3.6	spring	1998
Lost Universe	3.4	spring	1998
Yu-Gi-Oh!	3.4	spring	1998
Fancy Lala	3.3	spring	1998
Grander Musashi RV	3.2	spring	1998
Ginga Hyouryuu Vifam 13	3.1	spring	1998
Beast Wars II Chou Seimeitai Transformers	3.1	spring	1998
Knight Hunters	2.9	spring	1998
Oh! My Goddess: The Adventures of Mini-Goddess	2.9	spring	1998
Futari Gurashi	2.9	spring	1998
Neo Ranga	2.7	spring	1998
Android Announcer Maico 2010	2.7	spring	1998
Cyberteam in Akihabara	2.7	spring	1998
Sentimental Journey	2.7	spring	1998
Alice SOS	2.6	spring	1998
Himitsu no Akko-chan 3	2.5	spring	1998
Seupideuwang Beongae	2.5	spring	1998
Brain Powerd	2.4	spring	1998
DT Eightron	2.3	spring	1998
YAT Anshin! Uchuu Ryokou 2	2.3	spring	1998
Nazca	2.2	spring	1998
Nessa no Haou Gandalla	1.7	spring	1998
Takoyaki Mant-Man	1.6	spring	1998
Serial Experiments Lain	4	summer	1998
Shadow Skill TV	3.5	summer	1998
Nightwalker: The Midnight Detective	3.2	summer	1998
Super Radical Gag Family	2.9	summer	1998
Momoiro Sisters	2.6	summer	1998
Hatsumei Boy Kanipan	2.3	summer	1998
Super Milk-chan	2.2	summer	1998
Monkey Magic	2.2	summer	1998
Master Keaton	4	fall	1998
His and Her Circumstances	3.9	fall	1998
Saber Marionette J to X	3.7	fall	1998
Dokkiri Doctor	3.6	fall	1998
Orphen	3.6	fall	1998
Bubblegum Crisis: Tokyo 2040	3.6	fall	1998
Popolocrois Monogatari	3.5	fall	1998
Ojarumaru	3.4	fall	1998
Generator Gawl	3.4	fall	1998
Eat-Man '98	3.3	fall	1998
Mamotte Shugogetten!	3.1	fall	1998
Kurogane Communication	3.1	fall	1998
Chousoku Spinner	3	fall	1998
Gasaraki	3	fall	1998
Steam Detectives	3	fall	1998
The Devil Lady	2.9	fall	1998
If I See You in My Dreams	2.8	fall	1998
Let's Nupu Nupu	2.6	fall	1998
Saint Luminous Jogakuin	2.6	fall	1998
Super Doll Licca-chan	2.5	fall	1998
Flint the Time Detective	2.5	fall	1998
Yoiko	2.4	fall	1998
Totsugeki! Pappara-tai	2.3	fall	1998
Hanasaka Tenshi Tenten-kun	1.7	fall	1998
Outlaw Star	4.2	winter	1998
Sexy Commando Gaiden Sugoiyo!! Masaru-san	3.6	winter	1998
El-Hazard: The Alternative World	3.5	winter	1998
Fushigi Mahou Fun Fun Pharmacy	3.4	winter	1998
Bakusou Kyoudai Let's & Go!! MAX	3.3	winter	1998
Silent Mobius	3.2	winter	1998
Burn Up! Excess	3.1	winter	1998
All Purpose Cultural Cat Girl Nuku Nuku TV	3	winter	1998
Bomberman B-Daman Bakugaiden	2.6	winter	1998
AWOL: Absent Without Leave	2.1	winter	1998
Gokudo	4	spring	1999
You're Under Arrest: Mini-Specials	3.8	spring	1999
Dual! Parallel Trouble Adventures	3.7	spring	1999
Sensual Phrase	3.7	spring	1999
Turn A Gundam	3.7	spring	1999
BuBu ChaCha	3.6	spring	1999
Shin Hakkenden	3.1	spring	1999
To Heart	3.1	spring	1999
Monster Rancher	3	spring	1999
Jubei-chan: The Ninja Girl	3	spring	1999
Betterman	3	spring	1999
Starship Girl Yamamoto Yohko	2.9	spring	1999
Eden's Bowy	2.9	spring	1999
Arc the Lad	2.8	spring	1999
Corrector Yui	2.8	spring	1999
Power Stone	2.7	spring	1999
I'm Gonna Be An Angel!	2.7	spring	1999
Psybuster	2.7	spring	1999
AD Police	2.7	spring	1999
Angel Links	2.6	spring	1999
D4 Princess	2.5	spring	1999
Nippon-ichi no Otoko no Tamashii 2	2.1	spring	1999
Aesop's World	1.9	spring	1999
Great Teacher Onizuka	4.5	summer	1999
Ebichu	3.6	summer	1999
